time,PEN_UTCI,ORI_UTCI,N_UTCI,NE_UTCI,CEN_UTCI,OCC_UTCI
2015-12-31 18:00:00,27.414860000000033,15.035098900000037,5.511544200000003,10.413635900000031,17.506465700000035,23.645097600000042
2015-12-31 19:00:00,25.76285900000005,11.01873390000003,-3.6870598999999515,9.454406800000015,11.3853522,19.144232500000044
2015-12-31 20:00:00,25.059291700000017,12.023729200000048,-7.680223099999978,9.282304699999997,10.659146399999997,17.42290730000002
2015-12-31 21:00:00,24.569425100000046,11.905580000000043,-10.971241999999961,9.304388500000016,10.486841800000036,15.84289640000003
2015-12-31 22:00:00,24.25171670000003,13.09226940000002,-12.878977399999997,9.45052720000001,10.493546100000003,14.531081099999994
2015-12-31 23:00:00,23.922831400000007,9.304045599999995,-14.264763099999982,9.174249000000032,10.758464200000049,14.183399000000009
2016-01-01 00:00:00,23.666708700000015,9.651882200000045,-15.314491499999974,9.129006600000025,9.734094800000037,13.323217400000033
2016-01-01 01:00:00,23.35819200000003,9.472095000000024,-17.414718599999986,8.256013900000028,9.41833360000004,14.215195600000015
2016-01-01 02:00:00,23.303716500000007,8.708681800000022,-18.265597999999983,8.498025299999995,8.680963800000029,13.909115000000043
2016-01-01 03:00:00,22.854619600000035,7.865498700000046,-19.014915099999968,8.169730200000004,8.852468600000009,13.185945600000025
2016-01-01 04:00:00,22.675580800000034,7.5042230000000245,-18.56909399999998,8.1251843,8.857203700000014,13.015205700000024
2016-01-01 05:00:00,22.431590700000015,6.743906700000025,-18.74900839999998,8.075631299999998,8.820036500000015,13.431015700000046
2016-01-01 06:00:00,22.10047370000001,5.52279580000004,-18.65307089999999,7.568809000000044,9.286917300000027,12.703223500000036
2016-01-01 07:00:00,22.38182370000004,5.267801100000042,-19.09813479999997,6.7888000000000375,7.6160163000000125,10.627438600000005
2016-01-01 08:00:00,27.96357400000005,9.852311600000007,-19.43417629999999,6.351963500000011,11.80671030000002,12.80468430000002
2016-01-01 09:00:00,31.33534750000001,19.099013400000047,-15.184191399999975,6.410111200000017,18.020915100000025,22.17051630000003
2016-01-01 10:00:00,33.706155600000045,25.7666208,-12.267585499999996,7.19743950000003,22.845429000000024,26.924722599999996
2016-01-01 11:00:00,34.90730590000004,28.969871600000033,-7.435507399999949,8.17657360000004,25.24996870000001,28.974485300000026
2016-01-01 12:00:00,35.10076890000005,29.16710790000002,-5.6889553999999976,10.728746600000022,24.28817380000004,30.438906700000018
2016-01-01 13:00:00,36.069261900000015,29.208319700000004,-5.857214699999986,8.967041800000004,28.119274800000028,31.846352600000046
2016-01-01 14:00:00,35.82882740000002,27.972972700000014,-3.2413022999999725,9.26698220000003,27.164709200000004,32.63261730000005
2016-01-01 15:00:00,34.167566100000045,26.43483660000004,-1.8365559999999732,8.517585200000042,24.773714900000016,32.46844180000005
2016-01-01 16:00:00,33.445294500000045,22.278565900000046,-1.8513244999999756,7.504081600000006,24.403286300000048,31.829051100000015
2016-01-01 17:00:00,30.08785270000004,20.952220699999998,-2.6147395999999503,6.327120200000024,22.7646484,29.282059600000025
2016-01-31 18:00:00,26.299662000000012,18.895076500000016,-6.524812399999973,4.883670300000006,18.343669200000022,25.272711000000015
2016-01-31 19:00:00,25.13437110000001,13.913396800000044,-12.693131800000003,4.473490100000049,10.261525900000038,20.164389200000016
2016-01-31 20:00:00,24.502802400000007,14.279650900000036,-13.733480199999974,4.341452200000049,8.62030820000001,18.30203320000004
2016-01-31 21:00:00,23.966852500000016,12.554373300000009,-13.775444800000002,3.8632721000000174,5.825089000000048,17.181100900000047
2016-01-31 22:00:00,23.45114600000005,12.11652250000003,-13.619396699999982,3.070438700000011,5.558228700000029,15.716410900000028
2016-01-31 23:00:00,23.369817000000012,11.169839800000034,-13.754283999999984,3.1481799000000024,6.250594200000023,14.581597200000033
2016-02-01 00:00:00,23.712746400000015,9.975510100000008,-12.552272999999957,3.4281852999999956,7.139643700000022,13.896478600000023
2016-02-01 01:00:00,23.85921890000003,9.595465200000035,-11.224545299999988,3.901023900000041,5.308436200000017,14.618230400000016
2016-02-01 02:00:00,23.785437400000035,9.294032500000014,-11.348961199999962,4.134793900000034,6.311576200000047,15.127878500000008
2016-02-01 03:00:00,23.769573700000024,9.299661500000013,-9.784176699999989,4.117666799999995,7.548472100000026,15.575856000000044
2016-02-01 04:00:00,23.282207700000015,9.446757600000012,-9.077101900000002,3.7554753000000005,6.256460700000048,14.897824400000047
2016-02-01 05:00:00,23.070146000000022,9.60750680000001,-8.833378699999969,3.8265828000000397,6.832570200000021,14.502101500000038
2016-02-01 06:00:00,22.908857100000034,8.702060800000027,-7.990920200000005,4.059503500000005,7.883533499999999,13.570765300000005
2016-02-01 07:00:00,23.896071900000038,9.077850800000022,-6.574284599999999,4.108639100000005,8.437944700000003,13.120235700000023
2016-02-01 08:00:00,28.632507599999997,11.92359300000004,-5.202788999999996,4.195903600000008,9.415057600000011,15.189267400000006
